Swing Trading - Fundamentally Strong Stocks,
Date: 20-May-2026,
Major Stocks,
Generated by and for: aminullah112@gmail.com,

Stock Name,Symbol,Exch,Sector Name,Industry Name,Type,Close Within 52 Week High Zone,Improved Return on Equity,Improved Return on Capital Employed,Quarterly Net Profit Growth YoY,Quarterly EBITDA Growth YoY,High Increase in Quarterly Sales YoY (Results),Consistent Cash From Operations,Symbol with Comma for External Upload
Anthem Biosciences Ltd.,ANTHEM,NSE,Healthcare,Pharmaceuticals & Drugs,Perfect Match,Y,Y,Y,Y,Y,Y,Y,"ANTHEM,"
Apollo Hospitals Enterprise Ltd.,APOLLOHOSP,NSE,Healthcare,Hospital & Healthcare Services,Perfect Match,Y,Y,Y,Y,Y,Y,Y,"APOLLOHOSP,"
Aster DM Healthcare Ltd.,ASTERDM,NSE,Healthcare,Hospital & Healthcare Services,Perfect Match,Y,Y,Y,Y,Y,Y,Y,"ASTERDM,"
Atul Ltd.,ATUL,NSE,Chemicals,Chemicals,Perfect Match,Y,Y,Y,Y,Y,Y,Y,"ATUL,"
Cemindia Projects Ltd.,CEMPRO,NSE,Infrastructure,Engineering - Construction,Perfect Match,Y,Y,Y,Y,Y,Y,Y,"CEMPRO,"
Granules India Ltd.,GRANULES,NSE,Healthcare,Pharmaceuticals & Drugs,Perfect Match,Y,Y,Y,Y,Y,Y,Y,"GRANULES,"
Gujarat Narmada Valley Fertilizers & Chemicals Ltd,GNFC,NSE,Chemicals,Chemicals,Perfect Match,Y,Y,Y,Y,Y,Y,Y,"GNFC,"
Hindustan Zinc Ltd.,HINDZINC,NSE,Non - Ferrous Metals,Metal - Non Ferrous,Perfect Match,Y,Y,Y,Y,Y,Y,Y,"HINDZINC,"
Ipca Laboratories Ltd.,IPCALAB,NSE,Healthcare,Pharmaceuticals & Drugs,Perfect Match,Y,Y,Y,Y,Y,Y,Y,"IPCALAB,"
Lupin Ltd.,LUPIN,NSE,Healthcare,Pharmaceuticals & Drugs,Perfect Match,Y,Y,Y,Y,Y,Y,Y,"LUPIN,"
Medplus Health Services Ltd.,MEDPLUS,NSE,Retailing,Retailing,Perfect Match,Y,Y,Y,Y,Y,Y,Y,"MEDPLUS,"
Nippon Life India Asset Management Ltd.,NAM-INDIA,NSE,Finance,Finance - Asset Management,Perfect Match,Y,Y,Y,Y,Y,Y,Y,"NAM-INDIA,"
Niva Bupa Health Insurance Company Ltd.,NIVABUPA,NSE,Finance,Insurance,Perfect Match,Y,Y,Y,Y,Y,Y,Y,"NIVABUPA,"
NLC India Ltd.,NLCINDIA,NSE,Power,Power Generation/Distribution,Perfect Match,Y,Y,Y,Y,Y,Y,Y,"NLCINDIA,"
Oracle Financial Services Software Ltd.,OFSS,NSE,Information Technology,IT - Software,Perfect Match,Y,Y,Y,Y,Y,Y,Y,"OFSS,"
Pidilite Industries Ltd.,PIDILITIND,NSE,Chemicals,Chemicals,Perfect Match,Y,Y,Y,Y,Y,Y,Y,"PIDILITIND,"
Premier Energies Ltd.,PREMIERENE,NSE,Trading,Trading,Perfect Match,Y,Y,Y,Y,Y,Y,Y,"PREMIERENE,"
Radico Khaitan Ltd.,RADICO,NSE,Alcohol,Breweries & Distilleries,Perfect Match,Y,Y,Y,Y,Y,Y,Y,"RADICO,"
Samvardhana Motherson International Ltd.,MOTHERSON,NSE,Automobile & Ancillaries,Auto Ancillary,Perfect Match,Y,Y,Y,Y,Y,Y,Y,"MOTHERSON,"
Shipping Corporation Of India Ltd.,SCI,NSE,Logistics,Shipping,Perfect Match,Y,Y,Y,Y,Y,Y,Y,"SCI,"
