Swing Trading - Fundamentally Strong Stocks,
Date: 08-May-2026,
Major Stocks,
Generated by and for: aminullah112@gmail.com,

Stock Name,Symbol,Exch,Sector Name,Industry Name,Type,Close Within 52 Week High Zone,Improved Return on Equity,Improved Return on Capital Employed,Quarterly Net Profit Growth YoY,Quarterly EBITDA Growth YoY,High Increase in Quarterly Sales YoY (Results),Consistent Cash From Operations,Symbol with Comma for External Upload
Apollo Hospitals Enterprise Ltd.,APOLLOHOSP,NSE,Healthcare,Hospital & Healthcare Services,Perfect Match,Y,Y,Y,Y,Y,Y,Y,"APOLLOHOSP,"
Aster DM Healthcare Ltd.,ASTERDM,NSE,Healthcare,Hospital & Healthcare Services,Perfect Match,Y,Y,Y,Y,Y,Y,Y,"ASTERDM,"
Atul Ltd.,ATUL,NSE,Chemicals,Chemicals,Perfect Match,Y,Y,Y,Y,Y,Y,Y,"ATUL,"
Bharat Electronics Ltd.,BEL,NSE,Capital Goods,Defence,Perfect Match,Y,Y,Y,Y,Y,Y,Y,"BEL,"
Cemindia Projects Ltd.,CEMPRO,NSE,Infrastructure,Engineering - Construction,Perfect Match,Y,Y,Y,Y,Y,Y,Y,"CEMPRO,"
Granules India Ltd.,GRANULES,NSE,Healthcare,Pharmaceuticals & Drugs,Perfect Match,Y,Y,Y,Y,Y,Y,Y,"GRANULES,"
Hindustan Zinc Ltd.,HINDZINC,NSE,Non - Ferrous Metals,Metal - Non Ferrous,Perfect Match,Y,Y,Y,Y,Y,Y,Y,"HINDZINC,"
Ipca Laboratories Ltd.,IPCALAB,NSE,Healthcare,Pharmaceuticals & Drugs,Perfect Match,Y,Y,Y,Y,Y,Y,Y,"IPCALAB,"
JB Chemicals & Pharmaceuticals Ltd.,JBCHEPHARM,NSE,Healthcare,Pharmaceuticals & Drugs,Perfect Match,Y,Y,Y,Y,Y,Y,Y,"JBCHEPHARM,"
Lupin Ltd.,LUPIN,NSE,Healthcare,Pharmaceuticals & Drugs,Perfect Match,Y,Y,Y,Y,Y,Y,Y,"LUPIN,"
Nippon Life India Asset Management Ltd.,NAM-INDIA,NSE,Finance,Finance - Asset Management,Perfect Match,Y,Y,Y,Y,Y,Y,Y,"NAM-INDIA,"
Niva Bupa Health Insurance Company Ltd.,NIVABUPA,NSE,Finance,Insurance,Perfect Match,Y,Y,Y,Y,Y,Y,Y,"NIVABUPA,"
Oracle Financial Services Software Ltd.,OFSS,NSE,Information Technology,IT - Software,Perfect Match,Y,Y,Y,Y,Y,Y,Y,"OFSS,"
Pidilite Industries Ltd.,PIDILITIND,NSE,Chemicals,Chemicals,Perfect Match,Y,Y,Y,Y,Y,Y,Y,"PIDILITIND,"
Premier Energies Ltd.,PREMIERENE,NSE,Trading,Trading,Perfect Match,Y,Y,Y,Y,Y,Y,Y,"PREMIERENE,"
Radico Khaitan Ltd.,RADICO,NSE,Alcohol,Breweries & Distilleries,Perfect Match,Y,Y,Y,Y,Y,Y,Y,"RADICO,"
Shipping Corporation Of India Ltd.,SCI,NSE,Logistics,Shipping,Perfect Match,Y,Y,Y,Y,Y,Y,Y,"SCI,"
Solar Industries India Ltd.,SOLARINDS,NSE,Chemicals,Chemicals,Perfect Match,Y,Y,Y,Y,Y,Y,Y,"SOLARINDS,"
Tata Steel Ltd.,TATASTEEL,NSE,Iron & Steel,Steel & Iron Products,Perfect Match,Y,Y,Y,Y,Y,Y,Y,"TATASTEEL,"
Torrent Pharmaceuticals Ltd.,TORNTPHARM,NSE,Healthcare,Pharmaceuticals & Drugs,Perfect Match,Y,Y,Y,Y,Y,Y,Y,"TORNTPHARM,"
Acutaas Chemicals Ltd.,ACUTAAS,NSE,Healthcare,Pharmaceuticals & Drugs,Almost There,Y,Y,Y,Y,Y,Y,,"ACUTAAS,"
Adani Green Energy Ltd.,ADANIGREEN,NSE,Power,Power Generation/Distribution,Almost There,Y,Y,,Y,Y,Y,Y,"ADANIGREEN,"
Adani Ports and Special Economic Zone Ltd.,ADANIPORTS,NSE,Logistics,Port,Almost There,Y,Y,Y,,Y,Y,Y,"ADANIPORTS,"
Aether Industries Ltd.,AETHER,NSE,Chemicals,Chemicals,Almost There,Y,Y,Y,Y,Y,Y,,"AETHER,"
Amber Enterprises India Ltd.,AMBER,NSE,Consumer Durables,Air Conditioners,Almost There,Y,Y,Y,,Y,Y,Y,"AMBER,"
Anand Rathi Wealth Ltd.,ANANDRATHI,NSE,Finance,Finance - Others,Almost There,Y,Y,Y,Y,,Y,Y,"ANANDRATHI,"
AWL Agri Business Ltd.,AWL,NSE,Fast Moving Consumer Goods,Edible Oil,Almost There,,Y,Y,Y,Y,Y,Y,"AWL,"
Bharat Heavy Electricals Ltd.,BHEL,NSE,Capital Goods,Engineering - Industrial Equipments,Almost There,Y,Y,Y,Y,Y,Y,,"BHEL,"
BLS International Services Ltd.,BLS,NSE,Hospitality,Travel Services,Almost There,,Y,Y,Y,Y,Y,Y,"BLS,"
BSE Ltd.,BSE,NSE,Finance,Finance - Others,Almost There,Y,Y,Y,Y,Y,Y,,"BSE,"
Campus Activewear Ltd.,CAMPUS,NSE,Retailing,Footwear,Almost There,,Y,Y,Y,Y,Y,Y,"CAMPUS,"
Capri Global Capital Ltd.,CGCL,NSE,Finance,Finance - Investment,Almost There,Y,Y,Y,Y,Y,Y,,"CGCL,"
CarTrade Tech Ltd.,CARTRADE,NSE,Information Technology,e-Commerce,Almost There,,Y,Y,Y,Y,Y,Y,"CARTRADE,"
CCL Products (India) Ltd.,CCL,NSE,Agriculture,Tea/Coffee,Almost There,Y,Y,Y,,Y,Y,Y,"CCL,"
Data Patterns (India) Ltd.,DATAPATTNS,NSE,Capital Goods,Defence,Almost There,Y,Y,Y,Y,Y,Y,,"DATAPATTNS,"
Delhivery Ltd.,DELHIVERY,NSE,Logistics,Logistics,Almost There,Y,Y,Y,Y,Y,Y,,"DELHIVERY,"
